question	output	answer
Who is the appointer of Charles Goodell ?	Nelson Rockefeller	Nelson Rockefeller is the appointer of Charles Goodell .
How many things are made by companies who produce mass media articles?	41	There are 41 things made by companies who produce mass media articles.
Was Kevin Rudd the PM of Julia Gillard?	Yes	Yes, Kevin Rudd is the prime minister of Julia Gillard.
Games on amiga are typically of what kind?	answer	The literary genre of the video games whose game platform is Amiga are answer.
Who all have rented the stadium whose architect is Populous?	answer	The tenants of the stadium whose architect is Populous are answer.
What is the university whose campus are Indiana and Iowa?	Kaplan University	The university whose campuses are in Indiana and Iowa is Kaplan University.
Was 12th Field Artillery Regiment garrisoned at colorado?	Yes	Yes, the 12th Field Artillery Regiment was garrisoned at Colorado.
Into which water bodies does Lake Uniamsi outflow?	Nile, Congo River, Benué River, Zambezi	The outflows of Lake Uniamsi are Nile, Congo River, Benué River, Zambezi.
Name the battle fought by the military persons who also fought in Algeria ?	Morocco, World War I, Korean War, Battles of Narvik, Algeria, World War II, Tonkin, Levant	The battles of the military people whose one battle was in Algeria are Morocco, World War I, Korean War, Battles of Narvik, Algeria, World War II, Tonkin, Levant.
What currencies are used in the countries which have been governed by Francois Hollande?	Euro, CFP franc, ISO 4217, Euro sign	The currencies of the countries with leader Franois Hollande are Euro, CFP franc, ISO 4217, Euro sign.
Count the number of cities on the Mediterranean Sea?	13	There are 13 cities on the Mediterranean Sea.
What is the alma mater of Fikret Orman?	University of Florida, Turkey, Florida, Yıldız Technical University, Istanbul, United States	The alma maters of Fikret Orman are University of Florida, Turkey, Florida, Yıldız Technical University, Istanbul, United States.
Which person constituency is Duboce Triangle, San Francisco and military unit is USS Kittiwake (ASR-13)?	Harvey Milk	Harvey Milk is the person whose constituency is Duboce Triangle, San Francisco and military unit is USS Kittiwake (ASR-13).
Name the chairman of the soccer club for which Mike Salmon currently plays?	Steve Nash, Jeff Mallett, Stephen J. Luczo, Greg Kerfoot	The chairmen of the soccer club which is the currentclub of Mike Salmon are Steve Nash, Jeff Mallett, Stephen J. Luczo, Greg Kerfoot.
Which river flows through both eastern and central washington?	Columbia River	The river which flows on both eastern and central Washington is Columbia River.
The Other Side has hosted how many guests?	8	There are 8 guests in The Other Side (The OuterLimits) episode.
For what is Abhijit Kunte known ?	Chess	Chess is the field that Abhijit Kunte is known for.
Which scientist's academic advisor is Georg Meissner and is known for invention of Anthrax ?	Robert Koch	The scientist known for the Anthrax and with Georg Meissner as a doctoral advisor is Robert Koch.
How many contries surround the seas on the banks of which is the city of Cancun?	20	There are 20 countries surrounding the seas whose one city is Cancun.
Which river's mouth location is Laptev Sea and also Arctic Ocean?	Lena River	Lena River has mouth location Laptev Sea and Arctic Ocean.
Is the Providence Chapel, Charlwood made in New English style of architecture?	Yes	Yes, the architectural style of Providence Chapel, Charlwood is New England.
Who is the monarch of Bertalan Szemere ?	Lajos Kossuth	The monarch of Bertalan Szemere is Lajos Kossuth.
Was the Army Air Corps honored for the battle of Iraq?	Yes	Yes, the Army Air Corps was honoured for the battle of Iraq.
What is the magazine which have been founded by Ralph J. Gleason?	Rolling Stone	The magazine founded by Ralph J. Gleason is Rolling Stone.
Is the song Killing is Out, School is in belong in the The Next Step?	Yes	Yes, The Next Step is the album with the song Killing Is Out, School Is In.
Was elizabeth ann seton beatified by Pope John XXIII?	Yes	Yes, Pope John XXIII beatified Elizabeth Ann Seton.
Where was James H. Fields buried?	Houston, Houston National Cemetery	The place of burial of James H. Fields is Houston, Houston National Cemetery.
Where did the partner of Teriitaria II die?	Papeete, Tahiti, Motu Uta	The death place of the partner of Teriitaria II are Papeete, Tahiti, Motu Uta.
Give me some series related to the one which had Yasmin Paige in them.	Doctor Who, Ballet Shoes (TV serial), Torchwood, K-9 (TV series), Sarah Jane's Alien Files	The television shows whose related film have Yasmin Paige starring on them are Doctor Who, Ballet Shoes (TV serial), Torchwood, K-9 (TV series), Sarah Jane's Alien Files.
Who are the stars of the movies which are distributed by Artisan Entertainment?	answer	The stars of the films distributed by Artisan Entertainment are answer.
What is the life stance of the ethnic groups related to Micronesia ?	Animism, Christianity, Shamanism, Shinto, Catholic Church, Mahayana, Protestantism, Buddhism	The life stances of the ethnic groups related to Micronesia are Animism, Christianity, Shamanism, Shinto, Catholic Church, Mahayana, Protestantism, Buddhism.
Which TV show distributed by Warner Bros. has Christopher Franke as one of the artist?	Babylon 5	The television show distributed by Warner Bros and with Christopher Franke as an artist is Babylon 5.
List the academic discipline of the journals whose publisher is SAGE Publications.	answer	The academic disciplines of the journals published by SAGE Publications are answer.
Was A Jitney Elopement edited by Charlie Chaplin?	Yes	Yes, Charlie Chaplin was the editor of A Jitney Elopement.
What is the regional radio sports network associated with?	Indianapolis Colts, Indiana High School Athletic Association	The affiliations of the regional radio sports network are Indianapolis Colts, Indiana High School Athletic Association.
Name the members of European Go Federation?	answer	The members of European Go Federation are answer.
List the prospect team of Robin Kovacs ?	New York Rangers	New York Rangers is the prospect team of Robin Kovacs .
List all discipline of the journals whose one of the discipline is Cerebral blood flow ?	Cerebral blood flow, Brain, Neuroimaging	The disciplines of the academic journals whose one discipline is Cerebral blood flow are Cerebral blood flow, Brain, Neuroimaging.
Who are buried in Rome and Mausoleum of Augustus?	Augustus, Caligula, Tiberius, Poppaea Sabina, Britannicus	The people whose place of burial is Rome and Mausoleum of Augustus are Augustus, Caligula, Tiberius, Poppaea Sabina, Britannicus.
What is the total number of regions served by the companies which also serve Australia?	1289	There are 1289 regions served by the companies which also serve in Australia.
How many subjects have been covered in fantasy novels?	295	There are 295 nonfiction subjects of the books with fantasy genre.
By which university is the literary magazine named Stone Canoe published?	Syracuse University	Syracuse University is the publisher of Stone Canoe.
Name the movies distributed by Warner Bros. and directed by Ridley Scott?	Blade Runner, Matchstick Men, Body of Lies (film)	The films directed by Ridley Scott and distributed by Warner Bros are Blade Runner, Matchstick Men, Body of Lies (film).
Name the company who owns HBO division?	Time Warner	Time Warner is the company with division HBO.
What award has been awarded to both Dion Beebe and Charles LeMaire?	Academy Awards	Both Dion Beebe Charles LeMaire got awards from Academy Awards.
List all the hubs of the airline whose one of the hub is Subang, Indonesia ?	Selangor, Sultan Abdul Aziz Shah Airport, Subang, Indonesia, Malaysia	The airline hubs whose one of the hub is Subang, Indonesia are Selangor, Sultan Abdul Aziz Shah Airport, Subang, Indonesia, Malaysia.
How many people currently play for Stoke City F.C.?	34	There are 34 players who currently play for Stoke City F.C..
Give me a count of mammals which have their order as Primate?	631	There are 631 mammals whose order (taxonomy) is Primate.
Which distributer of Glover is also the stockholder of Seattle Mariners ?	Nintendo	The distributer of Glover video game and owner of Seattle Mariners is Nintendo.
Where did Meg McGuffin graduated ?	Auburn University	Auburn University is the university where Meg McGuffin graduated.
How many teams have used the stadiums which have been rented by the Canadian Hockey Association?	11	There are 11 tenants of the stadiums whose one tenant is Canadian Hockey Association.
In which sitcom did Jeff Conaway acted and had TNT as its network?	Babylon 5	Babylon 5 is the television show whose network is TNT and one of the actors is Jeff Conaway.
What team does John McGeever play for, which also employed Ben Dreith at some time?	American Football League	American Football League is the work of Ben Dreith and team of John McGeever.
Where is the debut team of Shaquil Barrett located?	Colorado, Denver, Sports Authority Field at Mile High	The location cities of the team where Shaquil Barrett debuted are Colorado, Denver, Sports Authority Field at Mile High.
Which wine region of Bogdanua is the mouth country of Upper Neretva?	Croatia	Croatia is the wine region of Bogdanua and mouth country of Upper Neretva.
Who is the person that first ascentded the Cathedral Peak and Mount Hoffmann?	John Muir	The person that first ascended the Cathedral Peak and Mount Hoffmann is John Muir.
How many Thesaban towns are there?	6	There are 6 towns whose settlement type is Thesaban.
Name the person who died in Fair Lane ?	Henry Ford	The person died in Fair Lane is Henry Ford.
Name the movie whose screenplay is by Akiva Goldsman and directed by Joel Schumacher ?	Batman Forever, The Client (1994 film), A Time to Kill (1996 film)	The films with the screenplay from Akiva Goldsman and directed by Joel Schumacher are Batman Forever, The Client (1994 film), A Time to Kill (1996 film).
Name the alma mater of the scientist famous for Email filtering ?	Stanford University	The alma mater of the scientist who is known for the Email filtering is Stanford University.
What are some people born in NY known for?	answer	The people born in NY are known for answer.
Name the newspaper owned by Schibsted and headquartered at Stockholm?	Svenska Dagbladet, Aftonbladet	The newspapers with Schibsted as owner and headquarters in Stockholm are Svenska Dagbladet, Aftonbladet.
What is the baseball team whose club manager is Chip Hale?	Arizona Diamondbacks	Arizona Diamondbacks is the baseball team whose manager is Chip Hale.
List the movies edited by Julian Doyle in which music was composed by Geoffrey Brugon ?	Monty Python's Life of Brian	The film composed by Geoffrey Burgon and edited by Julian Doyle is Monty Python's Life of Brian.
Where were the doctoral students of James Langer born?	Moscow, Russia	The place of birth of the doctoral student of James S. Langer is Moscow, Russia.
What are some awards given to the french people?	BFI London Film Festival, Best Feature Short, La Bonne Nouvelle, Order of Nikola Šubić Zrinski, Knight of the Legion of Honour, Officer of the National Order of Merit and Officer of the Order of Academic Palms ; Gold medal for Public Instruction, Academy Awards, Academy Award for Best Director, César Award for Best Director, César Award, BAFTA for Best Director, and other see ''[[#Awards	The awards of french people are BFI London Film Festival, Best Feature Short, La Bonne Nouvelle, Order of Nikola Šubić Zrinski, Knight of the Legion of Honour, Officer of the National Order of Merit and Officer of the Order of Academic Palms ; Gold medal for Public Instruction, Academy Awards, Academy Award for Best Director, César Award for Best Director, César Award, BAFTA for Best Director, and other see ''#Awards.
Name the local authority of Trinity School, Brentwood ?	Essex	The local authority of Trinity School, Brentwood is Essex.
Which prospect team of Robin Kovacs is the draft team of Bob MacMillan ?	New York Rangers	The draft team of the Bob MacMillan and prospect team of the Robin Kovacs is New York Rangers.
Which party of the Mizoram Legislative Assembly is the government type of kumta ?	Indian National Congress	The government type of the Kumta and party of Mizoram Legislative Assembly is Indian National Congress.
What band had Nick Jonas and Kevin Jonas as former members?	Jonas Brothers	The band where Nick Jonas and Kevin Jonas were former members is Jonas Brothers.
What mammals fall into the biological family Canidae?	answer	The mammals belonging to Canidae family are answer.
What is the owning company of the bank whose parent is Sony Financial ?	Sony	Sony is the owning company of the bank whose parent is Sony Financial.
With what company is the service OneDrive associated?	Microsoft, 21Vianet	The companies whose service is OneDrive are Microsoft, 21Vianet.
Name the district of Robert William Wilcox?	Oahu, Maui, AL	The districts of Robert William Wilcox are Oahu, Maui, AL.
List the military branch of Henry Hyde?	United States Navy, United States Navy Reserve	The military branches of Henry Hyde are United States Navy, United States Navy Reserve.
What is the total number of other nearest countries to the lakes whose nearest countries is Uganda?	18	There are 18 nearest cities of the lakes whose one nearest city is Uganda.
What is the death place of the Abiye Abebe and is the birthplace of the Amsale Aberra?	Addis Ababa, Ethiopia	Abiye Abebe's death place and Amsale Aberra's birth place is Addis Ababa, Ethiopia.
Which coach of England national under 21 footbal team is also the coach of Aston Villa F.C season ?	Gareth Southgate	The common coach of the England national under-21 football team and 2000-01 Aston Villa F.C. season is Gareth Southgate.
List the Sci-fi TV shows with theme music given by Ron Grainer?	Doctor Who	Doctor Who is the television show whose genre is science fiction and has its music composed by Ron Grainer.
What honours did Reigh Count receive?	Kentucky, National Museum of Racing and Hall of Fame, Florence, Kentucky	The honours of Reigh Count are Kentucky, National Museum of Racing and Hall of Fame, Florence, Kentucky.
Name the basketball players drafted by Los Angeles Clippers ?	answer	The basketball players drafted by Los Angeles Clippers are answer.
Which company offer service of Outlook and OneDrive?	Microsoft	Microsoft is the company whose services are Outlook and OneDrive.
What are the movies written by Nick Castle?	Escape from New York, The Resurrection of Broncho Billy, August Rush, Skatetown, U.S.A., Tap (film), The Boy Who Could Fly, Tag: The Assassination Game	The movies authored by Nick Castle are Escape from New York, The Resurrection of Broncho Billy, August Rush, Skatetown, U.S.A., Tap (film), The Boy Who Could Fly, Tag: The Assassination Game.
Rivers from which countries flow into the Caspian?	Kazakhstan, Russia, Turkey, Stavropol Krai, North Ossetia-Alania, Chechnya, Kabardino-Balkaria, Dagestan, Georgia (country), Iran, Azerbaijan, Astrakhan Oblast	The source countries of the rivers that flow into the Caspian are Kazakhstan, Russia, Turkey, Stavropol Krai, North Ossetia-Alania, Chechnya, Kabardino-Balkaria, Dagestan, Georgia (country), Iran, Azerbaijan, Astrakhan Oblast.
Who is the partner of Rob Patterson?	Carmen Electra	The partner of Rob Patterson is Carmen Electra.
Which scientist advised a doctoral student named Serban Titeica?	Werner Heisenberg	Werner Heisenberg is the scientist whose doctoral student is Serban Titeica.
By what style was Providence Chapel, Charlwood made?	Vernacular architecture, New England	The styles of Providence Chapel, Charlwood are Vernacular architecture, New England.
Where is the predecessor of john waldo from?	Oregon, Oregon	The states of the predecessor of John B. Waldo are Oregon, Oregon.
How many people hold important positions alongwith Donna Shalala?	8	There are 8 key people, of the non-profit organisations whose key person is Donna Shalala .
What is the country with native language as Languages of Ethiopia?	Ethiopia	Ethiopia is the country who has the native langues of Ethiopia.
What is the series of the book which is a subsequent work of Blade Runner 2: The Edge of Human ?	Blade Runner	The series of the book which is the subsequent work of Blade Runner 2: The Edge of Human is Blade Runner.
What is the resting place of the person who is the successor of James W. Hyatt?	Norwalk, Connecticut, Connecticut	The resting place of the successor of James W. Hyatt is Norwalk, Connecticut, Connecticut.
What are the television shows whose writers did notable work for Band of Brothers?	Band of Brothers (miniseries), Killing Lincoln (film)	The television shows whose writer's notable work is Band of Brothers are Band of Brothers (miniseries), Killing Lincoln (film).
What are the albums whose artists have performed with the Tangerine Dream?	answer	The albums whose artists have performed with the Tangerine Dream are answer.
In which movies directed by Orson Welles has Bernard Herrmann as music composer?	Citizen Kane	Citizen Kane is the movie composed by Bernard Herrmann and directed by Orson Welles.
How many people have been trained in an institute located in California?	44	There are 44 people trained in institutes located in California.
What is manufactured by Asus and Sony togather?	PlayStation 3	PlayStation 3 is the manufactured by Asus and Sony.
What are the movies whose distributor's headquarters is New York?	answer	The films whose distributor's headquarters is in New York are answer.
What is the religion of the relatives of Ananda Weerasekara?	Buddhism	Buddhism is the religion of the relatives of Ananda Weerasekara.
How many prime ministers did the predecessor of Duncan Sandys  serve?	14	The predecessor of Duncan Sandys serve 14 primeministers.
Where does the publisher of Kathimerini live?	Athens, Greece	The place of residence of the publisher of Kathimerini is Athens, Greece.
Which is the nearest city to Elliott Bay?	Seattle	Seattle is the nearest city to Elliott Bay .
Which neighboring municipalities of Cologny has a mayor named Ester Alder ?	Geneva	Geneva is the city whose neighbor municipality is Cologny and mayor is Esther Alder.
Which executive producer of Into the Dalek also produced Wizards vs Aliens ?	Doctor Who	Doctor Who is the executive producer of Into the Dalek and producer of Wizards vs Aliens.
Name the common institute of Robert hall and Erica Frank ?	Stanford University	Stanford University is the institution of both Robert Hall and Erica Frank.
How many soccer manager have been in the Spain nation football team?	217	There have been 217 soccer managers in the Spain national football team.
List the parts of Greater San Antonio?	San Antonio, New Braunfels, Texas, Schertz, Texas, Seguin, Texas	The parts of Greater San Antonio are San Antonio, New Braunfels, Texas, Schertz, Texas, Seguin, Texas.
What artists are associated with the members of the Catalin Maruta?	Eurovision Song Contest, Cătălin Măruță, Marius Moga, Faimoşii, Ploaia de stele, Divertis	The musical artists associated with members of Catalin Maruta band are Eurovision Song Contest, Cătălin Măruță, Marius Moga, Faimoşii, Ploaia de stele, Divertis.
Was christina crawford trained by Booker T?	Yes	Yes, Booker T is the trainer of Christina Crawford.
What is the broadcast area of WBCQ (SW)?	Europe, North America	The broadcast areas of WBCQ (SW) are Europe, North America.
Who all are starring in the  movies where director of photography is John Derek ?	Anthony Quinn, Julie Newmar, Don Murray (actor), Donald Trump, Leo Damian, Bo Derek, John Phillip Law, Miles O'Keeffe, Richard Harris, George Kennedy, Andrea Occhipinti, Ana Obregón	The stars of the movies whose director is John Derek are Anthony Quinn, Julie Newmar, Don Murray (actor), Donald Trump, Leo Damian, Bo Derek, John Phillip Law, Miles O'Keeffe, Richard Harris, George Kennedy, Andrea Occhipinti, Ana Obregón.
List the first drivers of Grand Prixes where Mika Hakkinen was a pole driver.	Michael Schumacher, Jacques Villeneuve, Mika Häkkinen, Damon Hill, Eddie Irvine, David Coulthard, Heinz-Harald Frentzen	The first drivers of the Grand Prixes where Mika Hakkinen was in pole position are Michael Schumacher, Jacques Villeneuve, Mika Häkkinen, Damon Hill, Eddie Irvine, David Coulthard, Heinz-Harald Frentzen.
What are the movies whose editor is Robert Wise?	Citizen Kane, The Hunchback of Notre Dame (1939 film), My Favorite Wife, The Devil and Daniel Webster (film), Bombardier (film), The Iron Major, Bachelor Mother, The Magnificent Ambersons (film), The Fallen Sparrow, Dance, Girl, Dance, 5th Avenue Girl	The films with editor Robert Wise are Citizen Kane, The Hunchback of Notre Dame (1939 film), My Favorite Wife, The Devil and Daniel Webster (film), Bombardier (film), The Iron Major, Bachelor Mother, The Magnificent Ambersons (film), The Fallen Sparrow, Dance, Girl, Dance, 5th Avenue Girl.
Does Abdelhameed Amarri currently play for Khartoum?	Yes	Yes, Khartoum is the current club of Abdelhameed Amarri.
Name the mouth country of Upper Neretva?	Croatia	Croatia is the mouth country of Upper Neretva .
How many things are manufactured by the company whose subsidiary is Sony Corporation shareholders and subsidiaries?	41	There are 41 things manufactured by the company whose subsidiary is Sony Corporation shareholders and subsidiaries.
What are the notable works of the person who produced Queer as Folk?	Doctor Who, Casanova (2005 TV serial), The Second Coming (TV serial), Bob & Rose, Banana (TV series), Cucumber (TV series), Torchwood, The Sarah Jane Adventures, Queer as Folk (UK TV series), '', *, *''	The notable works of the producer of Queer as Folk are Doctor Who, Casanova (2005 TV serial), The Second Coming (TV serial), Bob & Rose, Banana (TV series), Cucumber (TV series), Torchwood, The Sarah Jane Adventures, Queer as Folk (UK TV series), '', *, *''.
Which show's network is Prime time Entertainment and has Douglas Netter as executive producer ?	Babylon 5	Babylon 5 is the television show whose network is Prime Time Entertainment Network and executive producer is Douglas Netter.
Of which countries does Viveka Babajee have citizenship?	India, Mauritius	The citizenships of Viveka Babajee are India, Mauritius.
Who owns the radio stations in Alabama?	answer	The owners of the radio stations in Alabama are answer.
Which military people served their allegiance to Union (American Civil War)?	answer	The military people with allegiance to the Union (American Civil War) are answer.
Is Charles Drummond Ellis a doctoral student of James Chadwick?	Yes	Yes, Charles Drummond Ellis is a doctoral student of James Chadwick.
How many people have coached the players of Middlesbrough FC?	30	There are 30 people who coached the players of Middlesbrough FC.
Count the number of things people who know linguistics are known for ?	57	There are 57 known fields of the people who are known for linguistics.
What famous politician died in the Petersen House?	Abraham Lincoln	The person who died in the Petersen House is Abraham Lincoln.
What is the appliance build jointly by Sony and Asus?	PlayStation 3	PlayStation 3 is the information appliance built by both Sony and Asus.
What genre of games are made by Blizzard Entertainment studios?	answer	The gernes of the video games developed by Blizzard Entertainment are answer.
Who coached the Marquette golden eagles men team in 09 to 10 and then again in 13 to 14 ?	Buzz Williams	Buzz Williams is the coach of the 2009-10 Marquette Golden Eagles men's basketball team and 2013-14 Marquette Golden Eagles men's basketball team.
List some things that Swedish people have become famous for?	answer	The known works that Swedish people become famous for are answer.
What all is owned by a company one of whose division is Paramount Domestic Television?	answer	The television shows whose company's division is Paramount Domestic Television are answer.
What is the bloomington viaduct built to cross?	Potomac River	Potomac River crosses Bloomington Viaduct .
Count all the shows whose music composers are in Oysterhead.	10	There are 10 television shows with theme music composed by the associates of Oysterhead.
To which american football teams does the Heinz Field serve as home stadium?	Pittsburgh Steelers, Pittsburgh Panthers	The tenants of Heinz Field are Pittsburgh Steelers, Pittsburgh Panthers.
Where is the headquarters of the public transit system which owns Target Field, a Metro Transit Station  ?	Minnesota, Minneapolis	The headquarters of the owner of Target Field Metro Transit station are in Minnesota, Minneapolis.
List all the former broadcast network of WMDN?	NBC, National Football League, American Broadcasting Company, Fox Broadcasting Company, WTVA	The former broadcast network of WMDN are NBC, National Football League, American Broadcasting Company, Fox Broadcasting Company, WTVA.
What company brought Riddim Ribbon to the market, and developed the batch monitor?	Apple Inc.	Apple Inc. is the developer of the Batch Monitor and distributor of the Riddim Ribbon.
What are some relatives of the people who fought in Operation Barbarossa?	answer	The relatives of the people who fought in Operation Barbarossa are answer.
What are some characters of series produced by Ricky Grevais?	answer	The fictional characters whose series's executive producer is Ricky Gervais are answer.
How many other region served are there of the companies which serves Pacific Ocean?	15	There are 15 regions served from companies whose one region is the Pacific Ocean.
Does the San Macros River start in Texas?	Yes	Yes, <Texas> is the source of <San Marcos River>.
Which sects people are part of local political parties which fall under the International Muslim Brotherhood?	Islam, Sunni Islam, Wahhabism	The religions of the political parties which are part of the International Muslim Brotherhood are Islam, Sunni Islam, Wahhabism.
Was the USS Tillamook built in Seattle?	Yes	Yes, USS Tillamook (AT-16) was built in Seattle.
What city is the residence of Cheryl Teigs?	Los Angeles	The residence of Cheryl Tiegs is Los Angeles.
Who developed google videos?	Google	The developer of Google Videos is Google.
Name the children of the person who is the star of The Weathered Underground ?	James Haven, Angelina Jolie, 1, 2	The children of the person who is starring film The Weathered Underground are James Haven, Angelina Jolie, 1, 2.
Count the number of artist whose pone of the field is writing ?	164	There are 164 artists whose pone of the field is writing.
Name all the junctions of U.S. Route 59?	Houston, Avoca, Iowa, Fergus Falls, Minnesota, Laredo, Texas, Lawrence, Kansas, Marshall, Texas, Ottawa, Kansas, Sallisaw, Oklahoma, Texarkana, Texas, Worthington, Minnesota, *, at, near	The junctions of U.S. Route 59 are Houston, Avoca, Iowa, Fergus Falls, Minnesota, Laredo, Texas, Lawrence, Kansas, Marshall, Texas, Ottawa, Kansas, Sallisaw, Oklahoma, Texarkana, Texas, Worthington, Minnesota, *, at, near.
Where does the rivers ending in lake washington begin?	Seattle, Mountlake Terrace, Washington	The source location of the river whose river mouth is Lake Washington are Seattle, Mountlake Terrace, Washington.
What is the label of the singles whose group is Outlawz?	Death Row Records, Tupac Shakur, Interscope Records, Amaru Entertainment	The labels of the singles whose group is Outlawz are Death Row Records, Tupac Shakur, Interscope Records, Amaru Entertainment.
How many shows is Russell Davies known for?	9	There are 9 teleision shows that are notable works of Russell T Davies.
What is the television show whose sculptor is C. E. Webber and composed by Murray Gold?	Doctor Who	The television show whose sculptor is C. E. Webber and composer is Murray Gold is Doctor Who.
Count the total number of academic discipline of the journals whose one of the academic discipline is Neuroimaging ?	12	There are 12 academic disciplines of the journals whose one academic discipline is Neuroimaging.
Name the associate acts of Martin Pugh?	7th Order, Faces (band), Rod Stewart, Armageddon (British band), Steamhammer (band)	The associate acts of Martin Pugh are 7th Order, Faces (band), Rod Stewart, Armageddon (British band), Steamhammer (band).
What is the state of origin of the president whose alma mater is Hellenic Naval Academy ?	Greece	The state of origin of the president whose alma mater is Hellenic Naval Academy is Greece.
What is the destinations of the airline whose headquarters is in Manchester?	Europe, North America, 95, Charters, 26	The destinations of the airline whose headquarters is in Manchester are Europe, North America, 95, Charters, 26.
What are the gadgets whose manufacturing company is founded by Terry Gou?	answer	The devices whose manufacturer's founder is Terry Gou are answer.
Where did the aristocrats die whose mother was Maria Ludwika Krasinska?	French Third Republic, Cannes	The place of death of the royalty whose mother is Maria Ludwika Krasinska is French Third Republic, Cannes.
What are a few molluscas whose family is Buccinidae?	answer	The molluscas whose family is Buccinidae are answer.
Name the company founded by Jim Harris and located in Harris County, Texas ?	Compaq	Compaq is the company founded by Jim Harris and located in Harris County, Texas.
Where was Girls (The Prodigy song)  recorded ?	England, Essex	The recording of Girls (The Prodigy song) was in England, Essex.
How many famous people are born in Long Island?	296	There are 296 people born in Long Island.
Was Lionel Messi a member of the 2009 FIFA World Cup squads?	Yes	Yes, Lionel Messi was a member of 2009 FIFA Club World Cup squads.
What is the constituency of Santo Versace?	Calabria	Calabria is the constituency of Santo Versace.
What is the mascot of the rival school of Sullivan Central High?	Confederate States of America, Native Americans in the United States, Patriots, Oakland Raiders	The mascots of the rivals of Sullivan Central High School are Confederate States of America, Native Americans in the United States, Patriots, Oakland Raiders.
Does the US route 281 have a junction at San Antonio?	Yes	Yes, San Antonio is a junction of US Route 281.
Whose deputy was Franz von Papen?	Adolf Hitler	The person with deputy Franz von Papen is Adolf Hitler.
What is the birthplace of the office holder who is the predecessor of Brian Peddle ?	Detroit, Michigan, United States	The birthplace of the office holder who is the predecessor of Brian Peddle is Detroit, Michigan, United States.
What is the total number of other characters of the plays whose characters is Robin (comics)?	12	There are 12 other characters of the plays whose characters is Robin (comics).
Who wrote Catch My soul?	William Shakespeare	The author of Catch My Soul is William Shakespeare.
How many people have been the head coach for Middlesbrough FC?	30	There have been 30 managers for Middlesbrough FC.
Which awards have been given to immunologists?	answer	The awards of the people whose work field is Immunology are answer.
In which monarch did Li Si succeed someone?	King Zhuangxiang of Qin, Qin Shi Huang	The monarchs of the successo of Li Si are King Zhuangxiang of Qin, Qin Shi Huang.
Whose creators are Jerry Seinfeld and Larry David?	Seinfeld, George Costanza, Cosmo Kramer, Jackie Chiles, Newman (Seinfeld), Elaine Benes, Uncle Leo, Jerry Seinfeld (character)	Jerry Seinfeld and Larry David are creators of Seinfeld, George Costanza, Cosmo Kramer, Jackie Chiles, Newman (Seinfeld), Elaine Benes, Uncle Leo, Jerry Seinfeld (character).
Give me a count of movies distributed by Warner Bros?	2782	There are 2782 movies distributed by Warner Bros.
Which creator of Theme Time Radio Hour also created subsequent work of Moondoc Matinee?	Bob Dylan	The creator of the subsequent work of Moondog Matinee and creator of Theme Time Radio Hour is Bob Dylan.
Which river does Katima Mulilo Bridge cross?	Zambezi	Zambezi river crosses Katima Mulilo Bridge .
Whose labels are Victor Entertainment and Celluloid Records?	Fela Kuti	The person with labels both Victor Entertainment and Celluloid Records is Fela Kuti.
Which work of Craig van Tilbury is close to the area of The Chess Monthyl?	Chess	The area of The Chess Monthly and occupation of Craig Van Tilbury is Chess.
Which relative of Ralf Schumacher is a famous formula one racer?	Michael Schumacher	Michael Schumacher is the Formula One racer whose relative is Ralf Schumacher.
What is the deathplace of the Anatoly Kharlampiyev which is also the death place of Lyudmila Buldakova?	Moscow	The deathplace of both Anatoly Kharlampiyev and Lyudmila Buldakova is Moscow.
Whose shrines are in a place governed by Justin Trudeau?	Jean de Brébeuf, Kateri Tekakwitha, Marguerite Bourgeoys, Gabriel Lalemant, Vasyl Velychkovsky	The saints whose shrines are in a place governed by Justin Trudeau are Jean de Brébeuf, Kateri Tekakwitha, Marguerite Bourgeoys, Gabriel Lalemant, Vasyl Velychkovsky.
What is the governing body of Burro Flats Painted Cave ?	Boeing	The governing body of Burro Flats Painted Cave is Boeing.
What is the show which opens with Gary Portnoy and Where Everybody Knows Your Name?	Cheers	Cheers is the television show whose opening themes are Gary Portnoy and Where Everybody Knows Your Name.
Which newspaper owned by Schibsted is published in Swedish?	Svenska Dagbladet, Aftonbladet	The newspapers whose language is Swedish and owned by Schibsted are Svenska Dagbladet, Aftonbladet.
Is James Wong Howe the cinematographer of Behave Yourself?	Yes	Yes, James Wong Howe is the director of photography of Behave Yourself!.
Who are the people who influenced the writers of Evenor?	C. S. Lewis, G. K. Chesterton, J. R. R. Tolkien, W. H. Auden, Madeleine L'Engle, David Lindsay (novelist), Mark Twain	The influenced of the authors of Evenor are C. S. Lewis, G. K. Chesterton, J. R. R. Tolkien, W. H. Auden, Madeleine L'Engle, David Lindsay (novelist), Mark Twain.
Was Robert Burns from the Romanticist School of thought?	Yes	Yes, romanticism was the movement of Robert Burns.
Which city is known for the people working in the western penn hospital?	Connecticut	The known city of the person who works in Western Pennsylvania Hospital is Connecticut.
Count the number of offices held by people who have their allegiances with the American Civil War Union?	216	There are 216 offices of the people whose allegiance is American Civil War Union.
What are the countries for which History of Trier principal to?	Roman Empire, Gallic Empire, Praetorian prefecture of Gaul	The countries with History of Trier as principal place are Roman Empire, Gallic Empire, Praetorian prefecture of Gaul.
